ENSG,baseMean,log2FoldChange,lfcSE,pvalue,padj,Symbol,absLFC
ENSG00000126467.11,18.95536215,-1.676732065,0.352149222,2.93E-07,1.95E-06,TSKS,1.676732065
ENSG00000197444.10,43.64651038,1.676009678,0.469525625,5.59E-05,0.00024271,OGDHL,1.676009678
ENSG00000228142.2,2.746036954,-1.675783054,0.661053263,0.001572177,0.004885029,AL354861.2,1.675783054
ENSG00000215237.6,25.47464912,-1.675753904,0.220897641,6.06E-15,1.28E-13,AL592293.1,1.675753904
ENSG00000117016.10,626.942284,-1.675274978,0.223781474,1.21E-14,2.46E-13,RIMS3,1.675274978
ENSG00000124664.11,7911.691698,1.67518154,0.337566805,1.45E-07,1.02E-06,SPDEF,1.67518154
ENSG00000134222.16,347.8767599,1.674937642,0.209464931,2.32E-16,5.89E-15,PSRC1,1.674937642
ENSG00000226690.8,3.989781175,1.674852955,0.586370723,0.000632263,0.002171139,AC013470.2,1.674852955
ENSG00000171102.14,329.6815669,1.674545217,0.76814273,0.003465353,0.009867566,OBP2B,1.674545217
ENSG00000259883.2,11.46865326,-1.674342722,0.262647841,3.42E-11,4.30E-10,EHD4-AS1,1.674342722
ENSG00000260219.2,197.6562979,1.674042492,0.232949306,1.17E-13,2.07E-12,CD2BP2-DT,1.674042492
ENSG00000280032.1,23.04194389,-1.673780251,0.428251555,1.52E-05,7.39E-05,AP002800.1,1.673780251
ENSG00000118515.11,5515.291041,-1.673264603,0.194773905,1.55E-18,5.15E-17,SGK1,1.673264603
ENSG00000163364.10,587.0900381,1.673184157,0.271967879,1.41E-10,1.62E-09,LINC01116,1.673184157
ENSG00000133816.17,4141.703579,1.673138559,0.19154132,4.67E-19,1.63E-17,MICAL2,1.673138559
ENSG00000184845.4,29.23474977,-1.672918704,0.330005065,6.94E-08,5.14E-07,DRD1,1.672918704
ENSG00000137561.5,74.29499544,-1.672615514,0.397664993,4.24E-06,2.29E-05,TTPA,1.672615514
ENSG00000249094.2,0.624660561,-1.672467183,0.636377238,0.001604342,0.004976702,AC007834.1,1.672467183
ENSG00000286413.1,3.314380015,1.671936889,0.496663472,0.000135608,0.00054155,AL355501.1,1.671936889
ENSG00000118804.8,188.6603633,-1.671921598,0.281437715,4.81E-10,5.05E-09,STBD1,1.671921598
ENSG00000140945.17,1168.006315,-1.671908552,0.279728794,3.94E-10,4.20E-09,CDH13,1.671908552
ENSG00000286508.1,6.067370286,-1.671768973,0.401311013,4.52E-06,2.43E-05,AC000050.2,1.671768973
ENSG00000181023.8,0.740576259,-1.671314134,0.710587649,0.002265001,0.006777233,OR56B1,1.671314134
ENSG00000226026.6,29.19112698,-1.671203363,0.227809483,4.75E-14,8.87E-13,AC092802.1,1.671203363
ENSG00000215478.8,4.66414742,-1.671198118,0.436644892,1.70E-05,8.18E-05,CES5AP1,1.671198118
ENSG00000213060.4,1.922355775,1.671106063,0.461807768,5.44E-05,0.000236609,AL031864.1,1.671106063
ENSG00000198478.8,2585.804149,-1.67110491,0.216868557,2.22E-15,4.97E-14,SH3BGRL2,1.67110491
ENSG00000253154.2,129.5103456,1.671091244,0.655854651,0.001433034,0.004501464,AC100801.1,1.671091244
ENSG00000147676.14,9322.703373,1.671072668,0.247955957,2.46E-12,3.66E-11,MAL2,1.671072668
ENSG00000229996.1,3.067669526,-1.670992675,0.400037546,5.91E-06,3.11E-05,AC093585.1,1.670992675
ENSG00000287998.1,13.05923115,-1.670921262,0.291388189,1.99E-09,1.90E-08,AC104232.3,1.670921262
ENSG00000171522.6,985.4212525,-1.670432129,0.185427262,2.79E-20,1.11E-18,PTGER4,1.670432129
ENSG00000105877.18,98.0795367,1.670213126,0.466670459,5.44E-05,0.000236498,DNAH11,1.670213126
ENSG00000276566.1,40.18502548,-1.670123077,0.532352772,0.000242535,0.000914457,IGKV1D-13,1.670123077
ENSG00000165244.7,456.1904728,1.670081042,0.18927571,2.07E-19,7.49E-18,ZNF367,1.670081042
ENSG00000260492.3,1.63582041,-1.66987324,0.709508057,0.002425009,0.007197345,CISTR,1.66987324
ENSG00000140873.16,328.9189667,-1.669573675,0.426182065,1.41E-05,6.88E-05,ADAMTS18,1.669573675
ENSG00000270607.1,63.34601938,-1.669468972,0.326572475,5.28E-08,3.99E-07,AC009549.1,1.669468972
ENSG00000286931.1,20.89025926,1.669054416,0.232598264,1.36E-13,2.39E-12,AL136419.3,1.669054416
ENSG00000186951.16,1820.627829,-1.668980501,0.255333637,9.94E-12,1.34E-10,PPARA,1.668980501
ENSG00000108622.11,424.2950127,-1.668656413,0.173268458,1.08E-22,5.43E-21,ICAM2,1.668656413
ENSG00000150551.11,19.7773619,1.668451502,0.290997352,1.59E-09,1.54E-08,LYPD1,1.668451502
ENSG00000249304.1,1.78572698,-1.668405612,0.600658396,0.000945584,0.00311343,AC104779.1,1.668405612
ENSG00000188373.5,1.485329863,-1.668243172,1.561559223,0.016586706,0.038453358,C10orf99,1.668243172
ENSG00000119865.9,997.4533966,-1.668163967,0.22181792,9.76E-15,1.99E-13,CNRIP1,1.668163967
ENSG00000073712.15,6815.721167,-1.668122244,0.226680587,2.03E-14,3.99E-13,FERMT2,1.668122244
ENSG00000270792.6,3.280329164,-1.667943062,0.410833982,9.42E-06,4.75E-05,AL050403.2,1.667943062
ENSG00000273442.1,19.51477343,-1.667711913,0.432787884,1.91E-05,9.09E-05,AC006946.3,1.667711913
ENSG00000267440.2,4.818112807,-1.667622,0.408658432,7.98E-06,4.08E-05,LINC02594,1.667622
ENSG00000279667.1,8.438744089,1.667575253,0.317427662,3.08E-08,2.42E-07,AL603839.4,1.667575253
ENSG00000169594.13,87.84407403,-1.667457724,0.39433557,3.90E-06,2.12E-05,BNC1,1.667457724
ENSG00000111602.12,2223.38465,1.667428928,0.126077361,1.00E-40,4.48E-38,TIMELESS,1.667428928
ENSG00000166246.14,119.0193108,1.667141388,0.223279416,1.40E-14,2.80E-13,C16orf71,1.667141388
ENSG00000287683.1,0.552998706,-1.66709142,0.86497462,0.013451031,0.032133927,AL591519.1,1.66709142
ENSG00000161640.15,19.08953363,-1.66697225,0.350561939,3.39E-07,2.24E-06,SIGLEC11,1.66697225
ENSG00000170684.9,257.0205463,1.666585093,0.291631314,1.98E-09,1.90E-08,ZNF296,1.666585093
ENSG00000167535.8,1810.325349,1.666450218,0.159655699,3.28E-26,2.47E-24,CACNB3,1.666450218
ENSG00000141255.13,13.32601245,-1.666265898,0.487440146,9.80E-05,0.000404129,SPATA22,1.666265898
ENSG00000261026.1,91.53320009,-1.666160839,0.478984521,7.74E-05,0.000325909,AC105046.1,1.666160839
ENSG00000017483.15,333.4602028,1.665866065,0.248926119,4.13E-12,5.92E-11,SLC38A5,1.665866065
ENSG00000242516.2,166.7087975,-1.665241126,0.352839541,3.96E-07,2.58E-06,LINC00960,1.665241126
ENSG00000147536.12,256.4642021,1.665159481,0.243531661,1.50E-12,2.31E-11,GINS4,1.665159481
ENSG00000169282.18,569.7602789,-1.665070137,0.272356196,1.71E-10,1.93E-09,KCNAB1,1.665070137
ENSG00000157227.13,20469.94457,1.66496751,0.184344892,3.48E-20,1.36E-18,MMP14,1.66496751
ENSG00000281904.1,0.627886628,-1.664892633,0.742451373,0.004992433,0.013558433,AC233263.7,1.664892633
ENSG00000167861.16,6650.431294,1.664762333,0.208486658,2.58E-16,6.50E-15,HID1,1.664762333
ENSG00000163704.12,508.7969574,1.664601788,0.204415744,7.81E-17,2.10E-15,PRRT3,1.664601788
ENSG00000188610.12,32.00581894,1.664200705,0.239570759,6.60E-13,1.06E-11,FAM72B,1.664200705
ENSG00000226491.1,34.88296686,-1.663907242,0.263944301,4.98E-11,6.11E-10,FTOP1,1.663907242
ENSG00000282556.3,28.15899362,-1.663261234,0.385131444,2.72E-06,1.52E-05,AC068733.3,1.663261234
ENSG00000251794.1,0.461184865,-1.662928144,0.87322772,0.020172948,0.045486976,RNU6-237P,1.662928144
ENSG00000286593.1,15.44349824,1.662598753,0.354470979,5.03E-07,3.22E-06,AP006261.1,1.662598753
ENSG00000277087.1,1.238808122,-1.662553943,0.528501405,0.000309173,0.001138718,AL121890.3,1.662553943
ENSG00000122025.15,392.5201943,1.662445721,0.438813056,2.40E-05,0.000112194,FLT3,1.662445721
