symbol,mean_tumor,mean_normal,log2FC_tcga
CDCA5,613.359,72.565,3.062
SCUBE3,237.964,27.886,3.048
BUB1B,450.209,54.011,3.036
SYNGR3,64.693,7.04,3.03
DEPDC1B,134.659,15.722,3.02
ZNF695,70.714,7.858,3.017
HSD17B6,107.617,12.427,3.016
DTL,638.321,78.265,3.012
CDKN3,194.525,23.497,2.997
RECQL4,546.252,67.601,2.996
ASF1B,590.436,73.193,2.995
CDCA8,504.256,62.402,2.994
MKI67,2282.174,286.024,2.992
CDCA2,207.22,25.347,2.982
CDC6,643.157,80.796,2.977
KIF26B,380.412,47.483,2.976
NCAPG,504.112,63.294,2.974
MATN3,570.941,71.89,2.972
CCNE2,323.716,40.559,2.966
TTK,334.77,42.082,2.962
METRN,803.373,106.227,2.907
CCNE1,181.047,23.478,2.895
SOX11,326.071,43.182,2.888
SYT1,741.236,99.932,2.878
ESPL1,376.44,50.701,2.868
