ENSG,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,absLFC,ENSG_base
ENSG00000259910.1,0.821198957,7.108173813,1.618536652,0.003686494,0.010413477,AC120498.1,7.108173813,ENSG00000259910
ENSG00000135097.7,288.9157259,1.033707008,0.406263207,0.003696908,0.010438391,MSI1,1.033707008,ENSG00000135097
ENSG00000286151.1,2.79694367,7.762070618,1.054606061,0.003706764,0.010463212,AL732406.1,7.762070618,ENSG00000286151
ENSG00000272485.1,4.622313874,1.320972166,0.562343643,0.003709937,0.010469912,AL392183.1,1.320972166,ENSG00000272485
ENSG00000170178.7,1.879313611,1.950282394,0.946298981,0.00371554,0.010483464,HOXD12,1.950282394,ENSG00000170178
ENSG00000224153.3,4.419190495,1.097464403,0.442269362,0.003716716,0.010485277,LINC02054,1.097464403,ENSG00000224153
ENSG00000240877.3,3.065537556,1.027579508,0.401304162,0.003761984,0.010598522,RN7SL521P,1.027579508,ENSG00000240877
ENSG00000257954.1,2.300517893,1.061247671,0.41516159,0.00377426,0.010627771,AC125611.2,1.061247671,ENSG00000257954
ENSG00000180549.8,18.5053565,1.086829476,0.43413941,0.003777457,0.01063525,FUT7,1.086829476,ENSG00000180549
ENSG00000279739.1,1.463931903,2.091464761,0.993745468,0.003814574,0.010726681,AC011369.2,2.091464761,ENSG00000279739
ENSG00000180869.4,1.746159321,1.610573878,0.712627066,0.003869711,0.010862289,LINC01555,1.610573878,ENSG00000180869
ENSG00000174279.4,2.044782651,1.626098251,0.778167925,0.003881487,0.010891452,EVX2,1.626098251,ENSG00000174279
ENSG00000198062.15,2.634933961,1.568367878,0.704393732,0.003885096,0.010900023,POTEH,1.568367878,ENSG00000198062
ENSG00000284783.1,0.510023168,3.252227968,1.21782581,0.003908279,0.010954112,AC091057.4,3.252227968,ENSG00000284783
ENSG00000217315.1,0.713943013,2.927788792,1.20561884,0.003924211,0.010994843,OR2W2P,2.927788792,ENSG00000217315
ENSG00000196866.3,0.616558989,2.234178249,0.923881731,0.003934188,0.011019655,H2AC7,2.234178249,ENSG00000196866
ENSG00000236616.3,4.183827608,1.340339456,0.578890217,0.003942615,0.011038534,BAK1P2,1.340339456,ENSG00000236616
ENSG00000167011.9,1.187849092,1.778636992,0.805589503,0.003946712,0.011046193,NAT16,1.778636992,ENSG00000167011
ENSG00000267644.1,4.393764961,1.04559473,0.411667315,0.003949335,0.011051048,AC061975.7,1.04559473,ENSG00000267644
ENSG00000153789.13,11.39759721,1.134141367,0.462305727,0.003959772,0.011077888,CIBAR2,1.134141367,ENSG00000153789
ENSG00000103832.10,1.861522074,1.408072371,0.619032104,0.003966913,0.011095493,GOLGA8UP,1.408072371,ENSG00000103832
ENSG00000248840.2,2.68865214,1.013858811,0.397267523,0.003980531,0.011128036,AL645949.1,1.013858811,ENSG00000248840
ENSG00000225156.2,2.495762398,1.642289834,0.765703951,0.003985432,0.011140153,AC012354.1,1.642289834,ENSG00000225156
ENSG00000226969.1,0.84370221,1.847271757,0.836713603,0.003992251,0.011156421,AL391845.1,1.847271757,ENSG00000226969
ENSG00000267909.3,21.30414338,1.148516373,0.469340309,0.003997139,0.011168109,CCDC177,1.148516373,ENSG00000267909
ENSG00000267156.1,2.728970281,1.058092648,0.425315367,0.004018117,0.011221136,TPMTP1,1.058092648,ENSG00000267156
ENSG00000219027.2,1.63296534,1.064788882,0.425486494,0.004020664,0.011226653,RPS3AP2,1.064788882,ENSG00000219027
ENSG00000254263.1,3.421804989,1.149097176,0.476227218,0.004060877,0.011326662,AC022973.4,1.149097176,ENSG00000254263
ENSG00000181499.2,1.766125932,1.44766437,0.648275446,0.004085063,0.011386236,OR6T1,1.44766437,ENSG00000181499
ENSG00000251688.2,1.363786366,1.511323552,0.678905258,0.004103466,0.011432665,LINC02507,1.511323552,ENSG00000251688
ENSG00000186049.8,2.356786148,1.892499428,0.948393144,0.004104648,0.011435145,KRT73,1.892499428,ENSG00000186049
ENSG00000263727.1,1.440977632,1.18861429,0.488395073,0.004126715,0.011487751,AP001178.1,1.18861429,ENSG00000263727
ENSG00000115290.10,426.0687493,2.424365997,0.464026814,0.004139214,0.011520415,GRB14,2.424365997,ENSG00000115290
ENSG00000275379.2,0.523355793,4.055653484,1.496589303,0.004157703,0.011567365,H3C11,4.055653484,ENSG00000275379
ENSG00000185662.10,3.780772707,1.295704871,0.555896898,0.004190329,0.011645766,SMIM23,1.295704871,ENSG00000185662
ENSG00000240250.3,0.974207675,1.615479309,0.736599674,0.00420583,0.011684711,RN7SL541P,1.615479309,ENSG00000240250
ENSG00000236276.2,2.727055279,1.680303557,0.804368614,0.004208083,0.011686837,NDP-AS1,1.680303557,ENSG00000236276
