ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-3781865,Diseases of glycosylation,13/428,145/11230,0.0896551724137931,2.352400902352562,3.2625858117673476,0.0035870811683882137,0.016788186188988082,0.01262026660476081,ADAMTS20/ADAMTS14/BGN/ACAN/MUC1/SDC1/GPC2/CHST6/VCAN/ADAMTSL2/THBS2/GPC4/ADAMTS7,13
R-HSA-6783310,Fanconi Anemia Pathway,6/428,40/11230,0.15,3.935747663551402,3.7023205299082385,0.003780387728826353,0.0176135553822896,0.013240725488738045,UBE2T/EME1/FANCI/FANCA/FANCD2/FANCB,6
R-HSA-9825892,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,4/428,18/11230,0.2222222222222222,5.830737279335409,4.082709373459959,0.004160161674459516,0.019296464195372485,0.014505826891207522,PLK1/LEF1/CCNB1/CDKN2A,4
R-HSA-1971475,Glycosaminoglycan-protein linkage region biosynthesis,5/428,29/11230,0.1724137931034483,4.523847889139542,3.7820571980081708,0.004376219303199048,0.020208408248994714,0.015191367125023131,BGN/SDC1/GPC2/VCAN/GPC4,5
R-HSA-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic,16/428,203/11230,0.07881773399014778,2.0680447493209337,3.056673979186433,0.0047601065029073825,0.021883852462481285,0.016450857126955185,KIF4A/TUBB3/KIF26B/KIF20A/KIF2C/KIF18B/KIFC1/KIF15/KIF23/KIF11/CENPE/PAFAH1B3/KIFC2/RACGAP1/TUBA1C/KDELR3,16
R-HSA-1362277,Transcription of E2F targets under negative control by DREAM complex,4/428,19/11230,0.21052631578947367,5.523856369896704,3.928292076470896,0.0051131790268413085,0.0234034934312252,0.01759322438171227,CDC6/TOP2A/E2F1/CDC25A,4
R-HSA-9020958,Interleukin-21 signaling,3/428,10/11230,0.3,7.871495327102804,4.3270824049899455,0.005399889759782684,0.02460739237023776,0.018498237311905596,IL21/IL21R/STAT1,3
R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition,9/428,87/11230,0.10344827586206896,2.7143087334837253,3.1951256202303546,0.005768197754737006,0.026170993306426853,0.019673650811376044,NEK2/PLK1/CDK1/AURKA/CCNB2/CCNB1/PLK4/TUBG1/ODF2,9
R-HSA-2142845,Hyaluronan metabolism,4/428,20/11230,0.2,5.247663551401869,3.7844488552243822,0.006202085934246469,0.02777572105897449,0.020879980776818876,CEMIP/HMMR/ABCC5/HYAL3,4
R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,4/428,20/11230,0.2,5.247663551401869,3.7844488552243822,0.006202085934246469,0.02777572105897449,0.020879980776818876,CDC25C/CDC25A/CDK5/CDK5R1,4
