symbol,ENSG_base,log2FC_P1,padj_P1,log2FC_P2,padj_P2,mean_log2FC,min_padj,mean_tumor,mean_normal,log2FC_tcga,tcga_validated
FOXD3,ENSG00000187140,2.004362606,8.73e-5,4.66218099,0.002562913,3.333,8.73e-5,12.881,1.532,2.455,YES
HOXC10,ENSG00000180818,2.659538542,3.41e-14,1.703748474,0.018971431,2.182,3.41e-14,789.557,143.836,2.448,YES
ADORA2A,ENSG00000128271,1.882107693,4.03e-5,2.203937851,0.034401924,2.043,4.03e-5,393.779,71.601,2.443,YES
PAFAH1B3,ENSG00000079462,2.524064994,2.78e-29,1.075351671,0.007971438,1.8,2.78e-29,1354.083,251.063,2.427,YES
TLCD1,ENSG00000160606,2.627759986,3.07e-26,2.869979859,7.81e-5,2.749,3.07e-26,267.269,48.97,2.425,YES
ERMN,ENSG00000136541,2.095778112,4.21e-10,2.156550734,0.006618491,2.126,4.21e-10,41.668,6.952,2.424,YES
GINS1,ENSG00000101003,2.517421148,3.86e-38,1.888362936,7e-9,2.203,3.86e-38,394.392,73.757,2.403,YES
CTHRC1,ENSG00000164932,2.711264593,2.5e-25,2.646923295,0.001827482,2.679,2.5e-25,2093.863,395.601,2.401,YES
NXPH4,ENSG00000182379,1.606771826,3.98e-5,3.251601871,0.002727382,2.429,3.98e-5,150.284,27.745,2.396,YES
TACC3,ENSG00000013810,2.028887831,1.41e-23,2.01834835,2.04e-8,2.024,1.41e-23,956.658,181.957,2.388,YES
SRMS,ENSG00000125508,1.985405793,3.48e-8,1.937032314,1.1e-5,1.961,3.48e-8,45.322,7.862,2.386,YES
ADAM8,ENSG00000151651,2.077422918,8e-14,3.238633401,2.58e-6,2.658,8e-14,458.891,87.239,2.382,YES
LMNB1,ENSG00000113368,2.48116563,1.75e-27,2.085058692,7.91e-5,2.283,1.75e-27,1338.151,257.725,2.372,YES
KIAA0319,ENSG00000137261,3.449087005,9.32e-16,3.181181466,0.028477507,3.315,9.32e-16,32.614,5.498,2.371,YES
FOXP3,ENSG00000049768,2.070165018,2.04e-11,3.377199843,1.24e-12,2.724,1.24e-12,98.488,18.243,2.37,YES
HMGB3,ENSG00000029993,2.570237922,1.76e-35,1.747551865,0.010646674,2.159,1.76e-35,1709.894,330.233,2.369,YES
HOXC12,ENSG00000123407,4.238229978,2.57e-13,5.713670007,0.039167918,4.976,2.57e-13,6.237,0.403,2.367,YES
TMEM92,ENSG00000167105,2.694739367,2.32e-12,3.216944531,0.044275477,2.956,2.32e-12,23.609,3.788,2.362,YES
SIX2,ENSG00000170577,1.714194474,7.36e-6,4.31939258,1.21e-5,3.017,7.36e-6,199.091,38.118,2.355,YES
PIF1,ENSG00000140451,1.532489535,8.89e-9,1.546130348,0.043054421,1.539,8.89e-9,53.018,9.669,2.34,YES
BGN,ENSG00000182492,2.528568729,1.3800000000000001e-22,4.036539784,9.32e-6,3.283,1.3800000000000001e-22,16288.179,3232.967,2.333,YES
OASL,ENSG00000135114,2.230018534,2.96e-10,1.855943279,0.012605189,2.043,2.96e-10,428.055,84.169,2.333,YES
SLC16A3,ENSG00000141526,1.429318109,1.71e-5,3.35638088,1.72e-10,2.393,1.72e-10,929.853,184.061,2.331,YES
RPLP0P2,ENSG00000243742,2.882388446,4.1e-36,2.838850997,1.40354e-4,2.861,4.1e-36,75.847,14.385,2.32,YES
PYCR1,ENSG00000183010,1.931325357,7.53e-16,2.646880534,2.44e-7,2.289,7.53e-16,2680.3,536.342,2.319,YES
GRIN2D,ENSG00000105464,1.535678618,8.98e-18,1.844569751,0.002604073,1.69,8.98e-18,90.054,17.266,2.318,YES
RUFY4,ENSG00000188282,2.132166007,1.77e-6,3.421782914,2.64e-6,2.777,1.77e-6,22.896,3.795,2.317,YES
EZH2,ENSG00000106462,2.130449786,2.34e-28,2.256398358,1.39e-6,2.193,2.34e-28,500.662,100.083,2.311,YES
SAMD14,ENSG00000167100,1.84678657,3.16e-13,3.030222326,0.00357185,2.439,3.16e-13,25.005,4.276,2.301,YES
ZBED2,ENSG00000177494,2.158130842,3.69e-6,5.914457929,1.20203e-4,4.036,3.69e-6,25.425,4.394,2.292,YES
SDS,ENSG00000135094,2.147923547,6.96e-9,4.998668831,4.33e-10,3.573,4.33e-10,242.912,49.272,2.279,YES
RAD51AP1,ENSG00000111247,2.257581583,1.0099999999999999e-23,1.969284823,4.05e-6,2.113,1.0099999999999999e-23,262.65,53.472,2.275,YES
COL1A1,ENSG00000108821,2.893191525,7.58e-16,2.926925459,2.14e-5,2.91,7.58e-16,140942.791,29179.951,2.272,YES
CREB3L1,ENSG00000157613,2.778711016,2.33e-20,1.892196633,2.89e-5,2.335,2.33e-20,1567.303,325.838,2.263,YES
C1QTNF6,ENSG00000133466,2.499808926,4.41e-34,2.623597251,5.45e-7,2.562,4.41e-34,988.494,206.243,2.255,YES
SBK1,ENSG00000188322,1.902245768,1.07e-9,1.531643347,0.027449275,1.717,1.07e-9,862.206,180.355,2.251,YES
SPP1,ENSG00000118785,2.02373506,1.66e-7,4.658916158,1.03e-7,3.341,1.03e-7,5651.03,1187.549,2.25,YES
SQLE,ENSG00000104549,2.088253874,3.15e-17,2.434049787,1.00338e-4,2.261,3.15e-17,2281.164,479.078,2.249,YES
NUAK2,ENSG00000163545,2.388576811,6.669999999999999e-31,1.084244327,0.026466068,1.736,6.669999999999999e-31,250.404,52.668,2.228,YES
CDC25A,ENSG00000164045,1.886270046,3.85e-15,1.771889311,0.013336584,1.829,3.85e-15,176.561,37.057,2.222,YES
ARHGAP11A,ENSG00000198826,2.127775432,1.05e-26,2.260210169,5.9e-5,2.194,1.05e-26,477.552,103.625,2.193,YES
OTX1,ENSG00000115507,2.237382509,2.63e-9,2.743424025,0.002153751,2.49,2.63e-9,41.467,8.299,2.191,YES
MAD2L1,ENSG00000164109,1.946541485,3.1300000000000003e-26,1.584689662,3.84984e-4,1.766,3.1300000000000003e-26,466.759,102.205,2.18,YES
FANCA,ENSG00000187741,1.752920657,1.76e-13,1.671031215,6.64e-6,1.712,1.76e-13,293.191,64.523,2.167,YES
TYMS,ENSG00000176890,1.607528751,2.48e-11,1.17640262,0.002042033,1.392,2.48e-11,766.224,171.475,2.153,YES
MYBL1,ENSG00000185697,1.171457781,5.82e-6,1.87441675,0.004897823,1.523,5.82e-6,396.21,88.541,2.149,YES
TMEM132A,ENSG00000006118,2.530921629,1.22e-22,2.027340562,7.38e-6,2.279,1.22e-22,2151.616,487.377,2.14,YES
LYPD1,ENSG00000150551,1.668451502,1.54e-8,3.694260832,9.67155e-4,2.681,1.54e-8,87.521,19.121,2.137,YES
SPOCD1,ENSG00000134668,2.649060899,5.11e-14,2.375926782,0.012605189,2.512,5.11e-14,115.981,25.598,2.137,YES
POC1A,ENSG00000164087,2.143732113,1.7e-45,1.91909027,3.05e-6,2.031,1.7e-45,257.014,57.644,2.137,YES
RNFT2,ENSG00000135119,1.774492558,1.7e-20,2.553997205,3.44e-8,2.164,1.7e-20,113.616,25.106,2.134,YES
FBXO43,ENSG00000156509,1.819500913,5.08e-13,1.337949968,0.01095047,1.579,5.08e-13,23.352,4.551,2.133,YES
IGFBPL1,ENSG00000137142,3.04489544,2.12e-18,2.465945604,0.015294014,2.755,2.12e-18,7.801,1.029,2.117,YES
BRIP1,ENSG00000136492,2.708630164,1.57e-20,1.341354702,2.55521e-4,2.025,1.57e-20,164.949,37.347,2.114,YES
CD80,ENSG00000121594,1.746188311,8.53e-8,4.007154426,1.72e-9,2.877,1.72e-9,33.592,7.037,2.106,YES
KPNA2,ENSG00000182481,2.357408363,1.6800000000000001e-29,1.968716191,9.86e-5,2.163,1.6800000000000001e-29,3471.186,808.842,2.1,YES
LAG3,ENSG00000089692,1.752250554,1.23e-7,2.915471675,4.17e-7,2.334,1.23e-7,117.281,26.705,2.094,YES
SIM2,ENSG00000159263,2.088018996,4.28163e-4,4.373412785,0.003165566,3.231,4.28163e-4,190.392,44.085,2.086,YES
AIM2,ENSG00000163568,1.465359169,2.19299e-4,2.267318921,0.005420446,1.866,2.19299e-4,45.866,10.106,2.077,YES
KIFC2,ENSG00000167702,1.956941555,9.48e-10,1.640603087,2.24962e-4,1.799,9.48e-10,816.043,192.788,2.076,YES
CRABP2,ENSG00000143320,2.362160156,9.44e-17,1.924597122,0.001367961,2.143,9.44e-17,11672.91,2769.108,2.075,YES
STIL,ENSG00000123473,1.990711745,2.0399999999999997e-24,1.767109692,8.22e-9,1.879,2.0399999999999997e-24,371.12,87.465,2.073,YES
POSTN,ENSG00000133110,2.437964309,4.41e-18,2.624381805,5.65e-8,2.531,4.41e-18,24334.712,5791.148,2.071,YES
ETV7,ENSG00000010030,2.128587936,1e-12,2.292734838,0.004293982,2.211,1e-12,134.255,31.249,2.068,YES
TIGIT,ENSG00000181847,1.35725066,3.17925e-4,2.872229589,2.78735e-4,2.115,2.78735e-4,103.791,24.001,2.067,YES
CIT,ENSG00000122966,1.884374308,2.3499999999999997e-23,1.289471961,0.033877734,1.587,2.3499999999999997e-23,474.73,112.763,2.064,YES
CHST6,ENSG00000183196,1.998111426,7.66e-10,1.746954124,0.004863189,1.873,7.66e-10,67.593,15.594,2.047,YES
BLM,ENSG00000197299,1.814387627,1.72e-14,2.152940175,7.05e-10,1.984,1.72e-14,215.064,52.116,2.024,YES
TPRN,ENSG00000176058,2.405250149,4.5299999999999995e-31,1.227500848,0.002768529,1.816,4.5299999999999995e-31,819.343,203.705,2.003,YES
SRD5A2,ENSG00000277893,1.374471752,1.69e-13,3.047890622,0.018745149,2.211,1.69e-13,11.622,2.151,2.002,YES
ANKRD22,ENSG00000152766,2.004667417,8.63e-10,2.586691154,1.47157e-4,2.296,8.63e-10,223.081,55.064,1.999,YES
CBS,ENSG00000160200,1.558140693,2.27684e-4,1.686464921,0.043069122,1.622,2.27684e-4,463.938,115.485,1.997,YES
CNGA3,ENSG00000144191,1.95897016,1.26624e-4,3.399483558,0.014485212,2.679,1.26624e-4,20.884,4.509,1.99,YES
CENPK,ENSG00000123219,1.706876901,2.07e-14,1.643062021,0.001349965,1.675,2.07e-14,97.583,23.9,1.985,YES
PTK6,ENSG00000101213,1.678832016,4.38e-8,1.875389747,2.61665e-4,1.777,4.38e-8,398.651,100.457,1.978,YES
RTKN2,ENSG00000182010,1.680473276,8.06e-13,1.194106183,0.002961248,1.437,8.06e-13,202.72,50.891,1.973,YES
IRF7,ENSG00000185507,1.990691104,3.72e-15,1.384371684,0.025294723,1.688,3.72e-15,866.428,221.153,1.965,YES
GPC2,ENSG00000213420,1.656788569,3.38e-6,2.093489972,0.009772531,1.875,3.38e-6,49.797,12.051,1.961,YES
HELLS,ENSG00000119969,1.701696095,1.42e-14,1.535246128,4.79e-5,1.618,1.42e-14,193.735,49.198,1.956,YES
LEF1,ENSG00000138795,2.796813169,1.82e-19,1.852478704,9.95915e-4,2.325,1.82e-19,527.282,135.965,1.948,YES
UNC5B,ENSG00000107731,2.330599544,4.82e-31,2.381652133,5.55e-8,2.356,4.82e-31,1666.577,431.543,1.947,YES
COL5A1,ENSG00000130635,2.31461704,9.2e-19,3.074408758,1.02e-6,2.695,9.2e-19,10226.903,2653.211,1.946,YES
SLC39A4,ENSG00000147804,1.337361738,6.2e-6,1.908487289,0.006443588,1.623,6.2e-6,494.505,128.222,1.939,YES
FANCI,ENSG00000140525,2.011626932,1.58e-24,1.654595553,9.07e-10,1.833,1.58e-24,1093.563,286.494,1.929,YES
TYMP,ENSG00000025708,1.589534003,1.55e-9,2.356945521,2.17938e-4,1.973,1.55e-9,2076.473,545.947,1.925,YES
HPX,ENSG00000110169,1.509051165,3.64159e-4,3.301349145,0.049609287,2.405,3.64159e-4,495.399,129.812,1.924,YES
LAGE3,ENSG00000196976,1.878037762,3.51e-22,1.583458961,0.001414736,1.731,3.51e-22,673.482,177.93,1.914,YES
B4GALNT4,ENSG00000182272,1.99306509,4.73e-10,1.506276668,0.015198785,1.75,4.73e-10,617.326,163.64,1.909,YES
ATAD2,ENSG00000156802,1.830415442,5.99e-17,1.34224468,0.002146835,1.586,5.99e-17,1880.628,502.35,1.902,YES
PYCARD,ENSG00000103490,1.978905522,3.46e-14,1.339994136,0.04626865,1.659,3.46e-14,982.48,263.5,1.895,YES
TMEM171,ENSG00000157111,1.457155058,2.66e-5,4.455668745,0.036380739,2.956,2.66e-5,10.436,2.079,1.893,YES
FUT7,ENSG00000180549,1.086829476,0.01063525,5.131079474,1.29794e-4,3.109,1.29794e-4,19.584,4.557,1.889,YES
NME1,ENSG00000239672,1.593747099,8.22e-18,1.339986237,0.006902102,1.467,8.22e-18,2394.35,646.873,1.886,YES
KLRG2,ENSG00000188883,1.814301521,1.07e-5,1.943082231,9.01435e-4,1.879,1.07e-5,70.028,18.234,1.885,YES
IER5L,ENSG00000188483,1.9538091,6.16e-23,1.859064432,6.54488e-4,1.906,6.16e-23,487.986,131.641,1.882,YES
CHTF18,ENSG00000127586,1.70518636,2.35e-12,1.157484027,0.00674996,1.431,2.35e-12,425.602,115.251,1.876,YES
LRP8,ENSG00000157193,1.262496298,3.04e-6,1.741683532,0.029390356,1.502,3.04e-6,198.702,53.758,1.867,YES
NUP210,ENSG00000132182,1.745653369,4.94e-16,1.264392444,0.004523104,1.505,4.94e-16,2763.604,758.062,1.865,YES
SDC1,ENSG00000115884,2.16462122,2.26e-12,1.961170449,2.69e-6,2.063,2.26e-12,8218.89,2259.404,1.863,YES
TNFSF4,ENSG00000117586,2.263253191,6.95e-17,2.193556599,7.53e-10,2.228,6.95e-17,168.47,45.623,1.862,YES
RACGAP1,ENSG00000161800,1.986224686,2.35e-40,1.594905247,1.15e-5,1.791,2.35e-40,1026.164,281.93,1.86,YES
ERBB2,ENSG00000141736,2.827058434,1.66e-13,2.311020602,0.031274057,2.569,1.66e-13,18126.838,5005.535,1.856,YES
ZBP1,ENSG00000124256,1.479463473,2.04819e-4,2.445211955,7.5e-7,1.962,7.5e-7,77.569,20.726,1.855,YES
TRIM59,ENSG00000213186,2.143615824,9.07e-29,2.003165452,0.001345929,2.073,9.07e-29,329.186,90.308,1.854,YES
SULF1,ENSG00000137573,2.180325033,2.75e-19,3.199367001,4.62e-10,2.69,2.75e-19,6182.06,1715.311,1.849,YES
ULBP2,ENSG00000131015,1.757882699,2.01e-8,2.693187613,0.045408961,2.226,2.01e-8,31.274,7.965,1.848,YES
KCNK1,ENSG00000135750,1.999875222,4.39e-8,1.576243003,0.008310566,1.788,4.39e-8,600.63,166.934,1.841,YES
PDCD1,ENSG00000188389,1.077344386,0.005081975,1.925824244,0.019792529,1.502,0.005081975,42.551,11.16,1.841,YES
ASPN,ENSG00000106819,1.881677566,5.88e-7,2.649209436,0.003122285,2.265,5.88e-7,2547.51,712.404,1.837,YES
LAMP3,ENSG00000078081,1.194807349,0.003519216,2.747096204,4.18e-6,1.971,4.18e-6,314.85,87.458,1.836,YES
CDC7,ENSG00000097046,1.289764809,5.62e-11,1.602056285,1.68e-5,1.446,5.62e-11,264.574,75.082,1.803,YES
SLC38A5,ENSG00000017483,1.665866065,5.92e-11,1.603305288,0.01298689,1.635,5.92e-11,178.833,50.811,1.795,YES
RELL2,ENSG00000164620,1.409451533,4.21e-7,1.580221763,6.83264e-4,1.495,4.21e-7,70.092,19.546,1.791,YES
ICOS,ENSG00000163600,1.073958514,0.005726806,3.142851269,9.85e-10,2.108,9.85e-10,47.603,13.1,1.785,YES
GPR84,ENSG00000139572,1.626455648,4.39e-8,4.348568714,7.92e-5,2.988,4.39e-8,42.257,11.581,1.782,YES
IL9R,ENSG00000124334,2.073892947,6.5e-8,3.683337134,9.12e-8,2.879,6.5e-8,8.464,1.752,1.782,YES
ADAMTSL2,ENSG00000197859,1.496340925,9.01e-9,1.729040722,0.001729877,1.613,9.01e-9,195.819,56.38,1.778,YES
RAD54B,ENSG00000197275,2.128068974,1.06e-22,1.496479252,0.011101085,1.812,1.06e-22,206.536,60.08,1.765,YES
MCM2,ENSG00000073111,1.74873075,1.93e-14,1.797109807,2.84853e-4,1.773,1.93e-14,1433.695,422.424,1.761,YES
COL5A2,ENSG00000204262,2.177840146,1.07e-15,3.015532854,2.33e-6,2.597,1.07e-15,11069.308,3269.403,1.759,YES
C21orf58,ENSG00000160298,1.488265761,2.92e-15,1.387027411,0.034038976,1.438,2.92e-15,148.994,43.35,1.758,YES
RNASEH2A,ENSG00000104889,1.53100656,3.71876e-4,1.378420191,0.017468849,1.455,3.71876e-4,683.76,201.684,1.756,YES
STMN1,ENSG00000117632,1.853648581,1.49e-19,1.243982671,0.003546071,1.549,1.49e-19,4437.099,1314.072,1.755,YES
SH2D2A,ENSG00000027869,1.319943254,6.84e-6,2.511566549,1e-9,1.916,1e-9,84.729,24.449,1.752,YES
PLK4,ENSG00000142731,1.873142709,2.73e-21,1.281295616,0.003659936,1.577,2.73e-21,239.767,70.513,1.751,YES
CCNF,ENSG00000162063,1.928551905,6.1599999999999995e-24,1.46074292,0.026586444,1.695,6.1599999999999995e-24,646.793,194.266,1.73,YES
GALNT5,ENSG00000136542,1.757454143,1.85e-6,2.167846133,0.001728215,1.963,1.85e-6,273.345,81.783,1.729,YES
GPR68,ENSG00000119714,2.06760672,3.65e-19,2.054935266,3.25447e-4,2.061,3.65e-19,271.032,81.165,1.727,YES
PLAUR,ENSG00000011422,1.610781885,2.34e-16,2.801070442,5.51e-7,2.206,2.34e-16,805.257,244.361,1.716,YES
PMAIP1,ENSG00000141682,1.961699403,4.07e-10,1.358139392,0.01281869,1.66,4.07e-10,392.408,118.991,1.713,YES
RGS4,ENSG00000117152,1.934821144,7.29e-13,1.925378468,0.006268398,1.93,7.29e-13,270.028,81.915,1.709,YES
KMO,ENSG00000117009,1.058709461,0.004151945,2.216914365,1.20763e-4,1.638,1.20763e-4,260.612,79.506,1.7,YES
FER1L6,ENSG00000214814,1.742271513,2.70823e-4,2.797518233,0.040663285,2.27,2.70823e-4,5.402,0.979,1.694,YES
ADAM19,ENSG00000135074,1.583764839,1.78e-8,2.055869667,1.0288e-4,1.82,1.78e-8,509.709,156.796,1.694,YES
LTA,ENSG00000226979,1.315049333,4.7061e-4,2.821942262,0.038551595,2.068,4.7061e-4,21.759,6.048,1.691,YES
GPR141,ENSG00000187037,2.069531571,4.38e-10,2.839363483,1.38e-10,2.454,1.38e-10,14.843,4.048,1.65,YES
FCGR1A,ENSG00000150337,1.610341379,6.45e-8,2.750293217,0.00174388,2.18,6.45e-8,147.942,46.538,1.648,YES
IL12B,ENSG00000113302,1.084038285,0.019358395,5.182161256,0.003145519,3.133,0.003145519,5.987,1.25,1.635,YES
ZNF367,ENSG00000165244,1.670081042,7.49e-18,1.877106086,4.17e-6,1.774,7.49e-18,236.337,75.659,1.63,YES
XRCC2,ENSG00000196584,1.741556167,4.99e-14,1.883024464,4.77e-5,1.812,4.99e-14,89.216,28.232,1.626,YES
ADAMTS20,ENSG00000173157,3.046125454,4.42e-5,4.197349876,0.022760821,3.622,4.42e-5,2.376,0.097,1.621,YES
EVPL,ENSG00000167880,1.878553439,4.18e-10,1.375325922,0.008894879,1.627,4.18e-10,1137.919,369.661,1.619,YES
CXCR3,ENSG00000186810,1.403736543,5.68e-5,2.497127621,3.64e-7,1.95,3.64e-7,100.075,32.029,1.614,YES
SLC2A6,ENSG00000160326,1.235957318,2.79e-6,2.93844521,1.19e-8,2.087,1.19e-8,134.233,43.286,1.611,YES
TBX20,ENSG00000164532,3.075991979,7.26e-5,3.901222311,0.03924658,3.489,7.26e-5,4.199,0.706,1.608,YES
MAL2,ENSG00000147676,1.671072668,3.66e-11,1.518978108,2.89371e-4,1.595,3.66e-11,7022.688,2316.796,1.599,YES
OAS2,ENSG00000111335,1.844977639,9.42e-8,1.894931227,0.016695284,1.87,9.42e-8,2669.082,881.841,1.597,YES
CACNA1E,ENSG00000198216,1.390906632,5.93e-5,2.012822208,0.046391644,1.702,5.93e-5,7.898,1.949,1.593,YES
KCNJ6,ENSG00000157542,1.63308081,6.00243e-4,5.190233075,1.43e-12,3.412,1.43e-12,5.67,1.221,1.587,YES
RSAD2,ENSG00000134321,1.508643424,7.52e-6,2.123892232,0.009909476,1.816,7.52e-6,844.838,280.938,1.585,YES
TUBA1C,ENSG00000167553,1.332371454,1.87e-20,2.238727961,1.59e-5,1.786,1.87e-20,4440.173,1480.491,1.584,YES
COL1A2,ENSG00000164692,1.998603635,2.8e-11,2.767736995,0.001326524,2.383,2.8e-11,103665.949,34710.298,1.578,YES
FEN1,ENSG00000168496,1.778083848,1.8700000000000003e-27,1.48804491,0.003068849,1.633,1.8700000000000003e-27,939.42,314.086,1.578,YES
BOP1,ENSG00000261236,1.100274987,6.02e-8,1.3122617,0.03595082,1.206,6.02e-8,433.888,145.701,1.568,YES
LIMD2,ENSG00000136490,2.000770822,5.4e-5,1.62804729,0.004308009,1.814,5.4e-5,472.093,159.273,1.562,YES
RASGRP1,ENSG00000172575,1.486967179,1.77e-6,1.24324405,0.002562913,1.365,1.77e-6,379.033,127.829,1.561,YES
SIX4,ENSG00000100625,1.353234089,7.72e-27,2.400175121,3.40992e-4,1.877,7.72e-27,508.719,172.406,1.556,YES
RAB31,ENSG00000168461,1.681891518,1.85e-11,1.583573445,8.19e-6,1.633,1.85e-11,4027.731,1368.868,1.556,YES
STX1A,ENSG00000106089,1.569930162,1.81e-10,1.34901953,0.036807071,1.459,1.81e-10,153.744,51.848,1.55,YES
PPP1R14B,ENSG00000173457,1.470518699,1.56e-15,1.691686623,0.035594174,1.581,1.56e-15,1610.506,551.856,1.543,YES
CALCA,ENSG00000110680,2.764766398,0.021607958,6.277825059,0.041155764,4.521,0.021607958,5.119,1.109,1.537,YES
RCC1,ENSG00000180198,1.394789825,8.53e-13,1.097793222,0.001951383,1.246,8.53e-13,1013.061,348.468,1.537,YES
VCAN,ENSG00000038427,1.945400742,3.66e-10,1.642457706,4.76694e-4,1.794,3.66e-10,9410.292,3245.292,1.536,YES
EGLN3,ENSG00000129521,1.797793595,2.75e-8,1.704194336,0.032438936,1.751,2.75e-8,993.291,343.077,1.531,YES
P2RY6,ENSG00000171631,1.308733107,7.18e-6,2.075996486,0.002811171,1.692,7.18e-6,113.454,38.641,1.53,YES
HMGA1,ENSG00000137309,1.547188555,8.26e-12,1.439914839,0.005420446,1.494,8.26e-12,2320.145,802.783,1.53,YES
KIF24,ENSG00000186638,1.685207665,7.04e-28,1.265968321,0.024998338,1.476,7.04e-28,214.858,73.855,1.528,YES
CCDC87,ENSG00000182791,2.081381018,3.8e-13,2.181182738,0.005615215,2.131,3.8e-13,44.989,15,1.523,YES
TAP1,ENSG00000168394,1.56796222,4.01e-10,1.917569238,6.59e-7,1.743,4.01e-10,3609.982,1261.541,1.516,YES
DPP3,ENSG00000254986,2.048681277,1.4700000000000001e-21,1.585701911,3.38e-5,1.817,1.4700000000000001e-21,1441.504,506.351,1.508,YES
ARSI,ENSG00000183876,1.701324512,4.64e-9,1.73318466,0.027975794,1.717,4.64e-9,107.578,37.209,1.507,YES
SMC4,ENSG00000113810,1.469392666,2.67e-14,1.087040343,0.030560888,1.278,2.67e-14,2126.526,751.942,1.499,YES
TIMELESS,ENSG00000111602,1.667428928,4.4799999999999997e-38,1.494174312,2.98e-5,1.581,4.4799999999999997e-38,1069.877,379.095,1.494,YES
OAS3,ENSG00000111331,1.746277845,1.41e-9,1.688585587,0.042848566,1.717,1.41e-9,3100.693,1105.037,1.488,YES
SLC12A8,ENSG00000221955,1.37689256,1.81e-10,2.111640401,0.002464554,1.744,1.81e-10,466.122,166.046,1.484,YES
CDH11,ENSG00000140937,2.18814572,5.26e-19,1.63280484,1.45976e-4,1.91,5.26e-19,2610.967,936.33,1.479,YES
TNFRSF4,ENSG00000186827,1.090473873,7.41e-6,1.455380314,0.044366816,1.273,7.41e-6,73.972,25.911,1.478,YES
SLAMF8,ENSG00000158714,1.28718875,1.87318e-4,3.030432774,1.45e-5,2.159,1.45e-5,462.239,165.907,1.473,YES
RND1,ENSG00000172602,1.43159851,1.11702e-4,2.655946714,0.033324776,2.044,1.11702e-4,418.724,150.889,1.466,YES
MICAL2,ENSG00000133816,1.673138559,1.63e-17,1.253369253,0.006454265,1.463,1.63e-17,2374.139,859.589,1.465,YES
COL12A1,ENSG00000111799,1.854397608,2.53e-11,2.280428128,1.25e-11,2.067,1.25e-11,12450.597,4515.845,1.463,YES
FANCD2,ENSG00000144554,1.307236433,7.03e-13,1.138190876,9.35662e-4,1.223,7.03e-13,485.549,175.687,1.461,YES
FLVCR1,ENSG00000162769,1.711238541,8.069999999999999e-32,1.308221899,0.029487923,1.51,8.069999999999999e-32,265.821,96.278,1.456,YES
CATSPER1,ENSG00000175294,1.43964266,1.01e-7,3.721588524,0.019161629,2.581,1.01e-7,5.273,1.297,1.449,YES
TMEM97,ENSG00000109084,1.370121483,2.1e-11,2.444317361,0.029172639,1.907,2.1e-11,888.788,324.888,1.449,YES
NOD2,ENSG00000167207,1.580719234,5.76e-9,2.193573125,2.33246e-4,1.887,5.76e-9,208.441,75.774,1.448,YES
CENPL,ENSG00000120334,1.295478487,2.5600000000000003e-22,1.142460326,0.010783643,1.219,2.5600000000000003e-22,238.016,86.71,1.446,YES
PLEK2,ENSG00000100558,1.425882923,5.92e-11,2.192620857,0.021554765,1.809,5.92e-11,183.005,66.712,1.442,YES
BRCA2,ENSG00000139618,1.371003394,7.55e-11,1.165556158,0.042398964,1.268,7.55e-11,195.273,71.261,1.442,YES
RUSC1,ENSG00000160753,1.633073264,6.749999999999999e-30,1.330926215,1.52709e-4,1.482,6.749999999999999e-30,1454.465,537.258,1.435,YES
MTHFD2,ENSG00000065911,1.486699521,3.42e-19,1.22406597,0.002352524,1.355,3.42e-19,2069.413,764.853,1.435,YES
TUFT1,ENSG00000143367,1.588424746,5.01e-30,1.725950606,1.96031e-4,1.657,5.01e-30,1327.231,490.817,1.433,YES
LOXL1,ENSG00000129038,1.629367537,4.01e-11,1.349592623,0.003731321,1.489,4.01e-11,1206.986,446.901,1.431,YES
MXD3,ENSG00000213347,1.437626321,1.82e-9,1.170302132,0.021220515,1.304,1.82e-9,230.365,85.025,1.427,YES
CD24,ENSG00000272398,1.65001731,1.19e-5,2.307612127,3.90294e-4,1.979,1.19e-5,29814.207,11101.801,1.425,YES
PSMD3,ENSG00000108344,1.928117424,1.54e-10,2.405406459,0.032450315,2.167,1.54e-10,4993.449,1860.133,1.424,YES
CHEK1,ENSG00000149554,1.743830892,1.63e-19,2.171539573,2.07344e-4,1.958,1.63e-19,256.486,94.995,1.423,YES
SEMA7A,ENSG00000138623,1.391338688,4.52e-10,1.906809217,4.80273e-4,1.649,4.52e-10,208.807,77.601,1.416,YES
CHPF,ENSG00000123989,1.296170641,3.61e-15,1.527907255,6.30291e-4,1.412,3.61e-15,2964.033,1115.263,1.409,YES
SLC39A11,ENSG00000133195,1.540854233,2.59e-13,1.41503005,0.019567698,1.478,2.59e-13,1824.186,689.99,1.401,YES
NACC1,ENSG00000160877,1.53526963,3.42e-22,1.074285029,0.012984264,1.305,3.42e-22,2234.14,847.887,1.397,YES
COL3A1,ENSG00000168542,1.767550531,3.31e-9,2.521260333,0.003365143,2.144,3.31e-9,96471.775,36846.425,1.389,YES
ACOT7,ENSG00000097021,1.460635197,1.98e-12,1.247570819,0.04098237,1.354,1.98e-12,648.475,247.159,1.388,YES
DONSON,ENSG00000159147,1.252281446,3.35e-16,1.546030363,0.002062316,1.399,3.35e-16,336.731,128.427,1.384,YES
CDK5,ENSG00000164885,1.292192117,5.87e-20,1.598268726,0.007893156,1.445,5.87e-20,396.034,152.54,1.371,YES
BST2,ENSG00000130303,1.549260448,1.4e-7,1.339434412,0.039512063,1.444,1.4e-7,4454.284,1728.091,1.366,YES
