"symbol","HR","HR_lower","HR_upper","pvalue","padj"
"F12",1.00049892722868,0.999829166487701,1.00116913662575,0.144312564418954,0.523081858361541
"NUAK2",0.999147311319506,0.99800327078667,1.00029266329969,0.144465372945516,0.523081858361541
"CBX2",1.00016419593759,0.999943505078695,1.00038493550368,0.144788391444264,0.523081858361541
"NACC1",1.00013893309228,0.999952187862044,1.00032571319797,0.14480689047576,0.523081858361541
"ADAMTS14",1.00089109210358,0.999691576281336,1.00209204720793,0.145451606618829,0.523081858361541
"P2RY6",1.00059500709858,0.999793053855356,1.00139760360393,0.145935310603935,0.523081858361541
"ABCC5",1.00008112258839,0.999971667455448,1.00019058970211,0.146333391506247,0.523081858361541
"CHRNA6",0.991744036360177,0.980696487511829,1.00291603587916,0.146918640411453,0.523081858361541
"RRM2",1.00009013996504,0.999967926095746,1.00021236877104,0.148298882357207,0.523081858361541
"CKAP2L",1.00056792534248,0.999795742133488,1.00134070494021,0.149480974079308,0.523081858361541
"RGS4",1.00027234006264,0.999901875152646,1.00064294223035,0.149652876711774,0.523081858361541
"UBE2S",1.00024403796175,0.999910353445659,1.00057783383317,0.151760000195734,0.523081858361541
"SRMS",1.00265511296654,0.999009795660701,1.00631373178186,0.153620839602896,0.523081858361541
"ADAMTS7",1.00034941266291,0.99986551919878,1.00083354031143,0.157019461215701,0.523081858361541
"VCAN",1.00001224726763,0.999995256894114,1.00002923792982,0.157711996492193,0.523081858361541
"ERBB2",1.00000263774409,0.999998968896627,1.00000630660501,0.158796914941219,0.523081858361541
"STAT1",0.999982997864648,0.999959330569332,1.00000666572013,0.159139283698944,0.523081858361541
"STARD3",1.00003533854923,0.999986139005609,1.00008454051348,0.159198209778152,0.523081858361541
"LRRC15",1.00003079030624,0.999987728090052,1.00007385437681,0.161093581382807,0.523081858361541
"CENPL",1.00073747047111,0.999705811604082,1.00177019397136,0.161257877130624,0.523081858361541
"SPC25",1.00109833313879,0.999551298363781,1.00264776230476,0.164169547196708,0.523081858361541
