symbol,ENSG_base,log2FC_P1,padj_P1,log2FC_P2,padj_P2,mean_log2FC,min_padj
KNL1,ENSG00000137812,2.694986349,1.2199999999999999e-24,2.346544146,2.51e-9,2.521,1.2199999999999999e-24
KIF15,ENSG00000163808,2.383284018,3.83e-24,2.659410036,1.85337e-4,2.521,3.83e-24
SPOCD1,ENSG00000134668,2.649060899,5.11e-14,2.375926782,0.012605189,2.512,5.11e-14
POLQ,ENSG00000051341,2.379901251,4.68e-24,2.639133613,6.05e-6,2.51,4.68e-24
CCNB2,ENSG00000157456,2.763769835,1.4400000000000001e-27,2.229768062,0.00996004,2.497,1.4400000000000001e-27
OTX1,ENSG00000115507,2.237382509,2.63e-9,2.743424025,0.002153751,2.49,2.63e-9
E2F1,ENSG00000101412,2.469146304,8.33e-26,2.505509987,1.09e-10,2.487,8.33e-26
CDKN3,ENSG00000100526,2.743972678,8.08e-31,2.22254634,2.39e-6,2.483,8.08e-31
ATP2A1-AS1,ENSG00000260442,1.255805963,8.0158e-4,3.705991361,0.016500294,2.481,8.0158e-4
FAM72D,ENSG00000215784,2.517219791,1.25e-14,2.423222013,1.41e-5,2.47,1.25e-14
GPR141,ENSG00000187037,2.069531571,4.38e-10,2.839363483,1.38e-10,2.454,1.38e-10
MUC1,ENSG00000185499,2.356788552,2.99e-12,2.537808415,0.002968418,2.447,2.99e-12
H3C3,ENSG00000287080,2.946009452,8.81e-8,1.942717839,0.003965382,2.444,8.81e-8
SAMD14,ENSG00000167100,1.84678657,3.16e-13,3.030222326,0.00357185,2.439,3.16e-13
SKA1,ENSG00000154839,3.327241561,1.98e-34,1.532475803,0.010572244,2.43,1.98e-34
ESCO2,ENSG00000171320,2.506044498,8.6e-18,2.354760022,0.014412568,2.43,8.6e-18
NXPH4,ENSG00000182379,1.606771826,3.98e-5,3.251601871,0.002727382,2.429,3.98e-5
H2BC6,ENSG00000274290,3.019503132,3.81e-17,1.835009688,1.54e-6,2.427,3.81e-17
E2F8,ENSG00000129173,1.227652908,2.94e-23,3.614604957,4.07e-7,2.421,2.94e-23
PACSIN1,ENSG00000124507,2.637460571,4.5000000000000004e-21,2.203962483,3.31749e-4,2.421,4.5000000000000004e-21
RDM1,ENSG00000278023,3.010224177,8.43e-18,1.8314706,0.002452965,2.421,8.43e-18
IGHG1,ENSG00000211896,1.718476726,0.001582793,3.119361145,0.034401924,2.419,0.001582793
CST6,ENSG00000175315,2.484510686,1.4e-9,2.340099525,0.003068849,2.412,1.4e-9
HPX,ENSG00000110169,1.509051165,3.64159e-4,3.301349145,0.049609287,2.405,3.64159e-4
H2BC7,ENSG00000277224,3.009616763,1.28e-7,1.795251389,9.52336e-4,2.402,1.28e-7
E2F2,ENSG00000007968,2.066624018,3.83e-14,2.734567657,1.37e-7,2.401,3.83e-14
BICDL1,ENSG00000135127,2.818317886,6.92e-22,1.971306791,5.46415e-4,2.395,6.92e-22
SLC16A3,ENSG00000141526,1.429318109,1.71e-5,3.35638088,1.72e-10,2.393,1.72e-10
COL1A2,ENSG00000164692,1.998603635,2.8e-11,2.767736995,0.001326524,2.383,2.8e-11
KIF23,ENSG00000137807,2.63452946,2.15e-32,2.124435045,3.41e-6,2.379,2.15e-32
CCNA2,ENSG00000145386,2.716162625,5.389999999999999e-23,2.038548161,0.001332323,2.377,5.389999999999999e-23
MFAP2,ENSG00000117122,2.529484114,6.23e-37,2.201181837,7.32e-5,2.365,6.23e-37
LINC01711,ENSG00000268941,1.58840965,1.35e-7,3.137261372,0.028070834,2.363,1.35e-7
UNC5B,ENSG00000107731,2.330599544,4.82e-31,2.381652133,5.55e-8,2.356,4.82e-31
PAQR4,ENSG00000162073,2.675295436,2.93e-32,2.031724186,1.21e-5,2.354,2.93e-32
PPP1R14B-AS1,ENSG00000256940,1.684323616,2.25e-5,3.019546311,0.045174664,2.352,2.25e-5
CDCA3,ENSG00000111665,2.913336989,3.19e-28,1.786883963,0.036246922,2.35,3.19e-28
ZWINT,ENSG00000122952,2.729807653,2.0199999999999998e-38,1.965066022,0.013717249,2.347,2.0199999999999998e-38
H3C7,ENSG00000277775,2.315017202,1.98024e-4,2.362461948,0.002500853,2.339,1.98024e-4
CREB3L1,ENSG00000157613,2.778711016,2.33e-20,1.892196633,2.89e-5,2.335,2.33e-20
LAG3,ENSG00000089692,1.752250554,1.23e-7,2.915471675,4.17e-7,2.334,1.23e-7
LEF1,ENSG00000138795,2.796813169,1.82e-19,1.852478704,9.95915e-4,2.325,1.82e-19
JPT1,ENSG00000189159,2.11023761,2.41e-19,2.536385169,3.72e-7,2.323,2.41e-19
ORC1,ENSG00000085840,2.08338513,2.42e-14,2.562120029,1.2e-7,2.323,2.42e-14
H2AC4,ENSG00000278463,2.492950515,1.65916e-4,2.14133662,0.002465061,2.317,1.65916e-4
CCDC194,ENSG00000269720,1.416153361,4.73602e-4,3.212358868,0.010077031,2.314,4.73602e-4
ANKRD22,ENSG00000152766,2.004667417,8.63e-10,2.586691154,1.47157e-4,2.296,8.63e-10
PYCR1,ENSG00000183010,1.931325357,7.53e-16,2.646880534,2.44e-7,2.289,7.53e-16
DIAPH3,ENSG00000139734,2.08791566,1.06e-19,2.486451527,0.001341184,2.287,1.06e-19
NDC80,ENSG00000080986,3.010458545,2.3099999999999998e-30,1.556560978,0.002391506,2.284,2.3099999999999998e-30
LMNB1,ENSG00000113368,2.48116563,1.75e-27,2.085058692,7.91e-5,2.283,1.75e-27
COL8A1,ENSG00000144810,1.274329432,1.09191e-4,3.287221029,1.03e-16,2.281,1.03e-16
TMEM132A,ENSG00000006118,2.530921629,1.22e-22,2.027340562,7.38e-6,2.279,1.22e-22
FER1L6,ENSG00000214814,1.742271513,2.70823e-4,2.797518233,0.040663285,2.27,2.70823e-4
ASPN,ENSG00000106819,1.881677566,5.88e-7,2.649209436,0.003122285,2.265,5.88e-7
FAM72C,ENSG00000263513,1.648071792,9.81e-6,2.877198544,3.06e-5,2.263,9.81e-6
SQLE,ENSG00000104549,2.088253874,3.15e-17,2.434049787,1.00338e-4,2.261,3.15e-17
H2BC14,ENSG00000273703,2.416828721,4.08252e-4,2.104560894,0.00128879,2.261,4.08252e-4
IGHG3,ENSG00000211897,1.693904262,0.001777209,2.824759986,0.034038976,2.259,0.001777209
H2AC12,ENSG00000274997,2.352405235,0.004307998,2.153553632,0.001997277,2.253,0.001997277
BIRC5,ENSG00000089685,2.708208393,1.26e-13,1.792880143,7.83296e-4,2.251,1.26e-13
KIF11,ENSG00000138160,2.316197743,2.4e-30,2.180498312,1.18985e-4,2.248,2.4e-30
CENPM,ENSG00000100162,2.295860256,1.09e-19,2.166517796,0.002225651,2.231,1.09e-19
TNFSF4,ENSG00000117586,2.263253191,6.95e-17,2.193556599,7.53e-10,2.228,6.95e-17
H2BC10,ENSG00000278588,1.911028796,0.007467547,2.542147175,4.34695e-4,2.227,4.34695e-4
ULBP2,ENSG00000131015,1.757882699,2.01e-8,2.693187613,0.045408961,2.226,2.01e-8
CRACD,ENSG00000109265,2.936011329,2.99e-15,1.508848338,0.039086115,2.222,2.99e-15
SRD5A2,ENSG00000277893,1.374471752,1.69e-13,3.047890622,0.018745149,2.211,1.69e-13
ETV7,ENSG00000010030,2.128587936,1e-12,2.292734838,0.004293982,2.211,1e-12
CENPI,ENSG00000102384,1.878990744,1.02e-25,2.540818934,1.7e-6,2.21,1.02e-25
F12,ENSG00000131187,2.260828636,1.75e-15,2.157235016,0.008317676,2.209,1.75e-15
PLAU,ENSG00000122861,1.731463418,4.92e-13,2.681673069,2.97e-11,2.207,4.92e-13
CKS2,ENSG00000123975,2.573545632,3.73e-44,1.838184499,7.8e-5,2.206,3.73e-44
PLAUR,ENSG00000011422,1.610781885,2.34e-16,2.801070442,5.51e-7,2.206,2.34e-16
PCDH17,ENSG00000118946,1.38672978,6.14e-10,3.020539042,5.63e-6,2.204,6.14e-10
GINS1,ENSG00000101003,2.517421148,3.86e-38,1.888362936,7e-9,2.203,3.86e-38
ST6GAL2,ENSG00000144057,1.72730085,1.05e-6,2.671510959,4.34e-10,2.199,4.34e-10
FCGR3A,ENSG00000203747,1.495046618,8.26e-8,2.900251463,2.81e-6,2.198,8.26e-8
ARHGAP11A,ENSG00000198826,2.127775432,1.05e-26,2.260210169,5.9e-5,2.194,1.05e-26
EZH2,ENSG00000106462,2.130449786,2.34e-28,2.256398358,1.39e-6,2.193,2.34e-28
SCIN,ENSG00000006747,2.334235374,0.006592564,2.048938634,0.018033853,2.192,0.006592564
H2AC18,ENSG00000203812,2.019223013,6.74e-5,2.362334773,8.44e-5,2.191,6.74e-5
HOXC10,ENSG00000180818,2.659538542,3.41e-14,1.703748474,0.018971431,2.182,3.41e-14
FCGR1A,ENSG00000150337,1.610341379,6.45e-8,2.750293217,0.00174388,2.18,6.45e-8
PSMD3,ENSG00000108344,1.928117424,1.54e-10,2.405406459,0.032450315,2.167,1.54e-10
RNFT2,ENSG00000135119,1.774492558,1.7e-20,2.553997205,3.44e-8,2.164,1.7e-20
KPNA2,ENSG00000182481,2.357408363,1.6800000000000001e-29,1.968716191,9.86e-5,2.163,1.6800000000000001e-29
HMGB3,ENSG00000029993,2.570237922,1.76e-35,1.747551865,0.010646674,2.159,1.76e-35
SLAMF8,ENSG00000158714,1.28718875,1.87318e-4,3.030432774,1.45e-5,2.159,1.45e-5
SAPCD2,ENSG00000186193,2.36139982,1.62e-15,1.95505391,2.06e-5,2.158,1.62e-15
CTXN1,ENSG00000178531,2.762334909,1.16e-25,1.546324279,0.009790548,2.154,1.16e-25
COL3A1,ENSG00000168542,1.767550531,3.31e-9,2.521260333,0.003365143,2.144,3.31e-9
CRABP2,ENSG00000143320,2.362160156,9.44e-17,1.924597122,0.001367961,2.143,9.44e-17
CCDC87,ENSG00000182791,2.081381018,3.8e-13,2.181182738,0.005615215,2.131,3.8e-13
ERMN,ENSG00000136541,2.095778112,4.21e-10,2.156550734,0.006618491,2.126,4.21e-10
CENPU,ENSG00000151725,2.363247934,8.209999999999999e-24,1.870622403,4.35397e-4,2.117,8.209999999999999e-24
TIGIT,ENSG00000181847,1.35725066,3.17925e-4,2.872229589,2.78735e-4,2.115,2.78735e-4
RAD51AP1,ENSG00000111247,2.257581583,1.0099999999999999e-23,1.969284823,4.05e-6,2.113,1.0099999999999999e-23
ARHGEF39,ENSG00000137135,2.030689881,5.08e-19,2.195692273,0.007498314,2.113,5.08e-19
ICOS,ENSG00000163600,1.073958514,0.005726806,3.142851269,9.85e-10,2.108,9.85e-10
SLC2A6,ENSG00000160326,1.235957318,2.79e-6,2.93844521,1.19e-8,2.087,1.19e-8
H3C13,ENSG00000183598,1.614083128,2.62954e-4,2.548879572,0.033308039,2.081,2.62954e-4
PCAT7,ENSG00000231806,1.298258639,0.003184475,2.856976421,0.023971983999999998,2.078,0.003184475
TRIM59,ENSG00000213186,2.143615824,9.07e-29,2.003165452,0.001345929,2.073,9.07e-29
LTA,ENSG00000226979,1.315049333,4.7061e-4,2.821942262,0.038551595,2.068,4.7061e-4
COL12A1,ENSG00000111799,1.854397608,2.53e-11,2.280428128,1.25e-11,2.067,1.25e-11
SDC1,ENSG00000115884,2.16462122,2.26e-12,1.961170449,2.69e-6,2.063,2.26e-12
CCNB1,ENSG00000134057,2.53760888,7.23e-38,1.585516347,0.004576616,2.062,7.23e-38
GPR68,ENSG00000119714,2.06760672,3.65e-19,2.054935266,3.25447e-4,2.061,3.65e-19
SPC25,ENSG00000152253,2.842427635,3.16e-43,1.27464719,7.38514e-4,2.059,3.16e-43
METRN,ENSG00000103260,2.430871719,5.78e-18,1.682715776,0.00695586,2.057,5.78e-18
RND1,ENSG00000172602,1.43159851,1.11702e-4,2.655946714,0.033324776,2.044,1.11702e-4
OASL,ENSG00000135114,2.230018534,2.96e-10,1.855943279,0.012605189,2.043,2.96e-10
ADORA2A,ENSG00000128271,1.882107693,4.03e-5,2.203937851,0.034401924,2.043,4.03e-5
CADPS,ENSG00000163618,1.4172867,2.8e-6,2.653623465,0.009017993,2.035,2.8e-6
POC1A,ENSG00000164087,2.143732113,1.7e-45,1.91909027,3.05e-6,2.031,1.7e-45
HASPIN,ENSG00000177602,2.098524917,2.24e-12,1.962741595,7.58e-5,2.031,2.24e-12
H2AC11,ENSG00000196787,1.978789257,3.05e-6,2.079973001,7.2e-7,2.029,7.2e-7
BRIP1,ENSG00000136492,2.708630164,1.57e-20,1.341354702,2.55521e-4,2.025,1.57e-20
TACC3,ENSG00000013810,2.028887831,1.41e-23,2.01834835,2.04e-8,2.024,1.41e-23
OIP5,ENSG00000104147,2.009059803,6.73e-14,2.021446491,0.010944286,2.015,6.73e-14
H2BC18,ENSG00000203814,2.487235182,1.19e-13,1.533529644,0.017159526,2.01,1.19e-13
CENPE,ENSG00000138778,2.336135052,1.63e-25,1.679268988,0.002375902,2.008,1.63e-25
UBE2S,ENSG00000108106,2.300333116,1.2600000000000001e-27,1.697738173,0.004984721,1.999,1.2600000000000001e-27
CDKN2A,ENSG00000147889,1.517073194,5.26e-8,2.463200131,2.40749e-4,1.99,5.26e-8
H2AC7,ENSG00000196866,2.234178249,0.011019655,1.739236621,0.011858945,1.987,0.011019655
BMP8B,ENSG00000116985,1.241364616,5.15e-6,2.729417966,0.002240154,1.985,5.15e-6
BLM,ENSG00000197299,1.814387627,1.72e-14,2.152940175,7.05e-10,1.984,1.72e-14
H4C9,ENSG00000276180,2.244943295,4.08e-16,1.713919532,0.019785922,1.979,4.08e-16
CD24,ENSG00000272398,1.65001731,1.19e-5,2.307612127,3.90294e-4,1.979,1.19e-5
TYMP,ENSG00000025708,1.589534003,1.55e-9,2.356945521,2.17938e-4,1.973,1.55e-9
LAMP3,ENSG00000078081,1.194807349,0.003519216,2.747096204,4.18e-6,1.971,4.18e-6
GALNT5,ENSG00000136542,1.757454143,1.85e-6,2.167846133,0.001728215,1.963,1.85e-6
ZBP1,ENSG00000124256,1.479463473,2.04819e-4,2.445211955,7.5e-7,1.962,7.5e-7
SRMS,ENSG00000125508,1.985405793,3.48e-8,1.937032314,1.1e-5,1.961,3.48e-8
CHEK1,ENSG00000149554,1.743830892,1.63e-19,2.171539573,2.07344e-4,1.958,1.63e-19
CXCR3,ENSG00000186810,1.403736543,5.68e-5,2.497127621,3.64e-7,1.95,3.64e-7
H1-5,ENSG00000184357,1.037851808,0.024918328,2.860480093,3.38174e-4,1.949,3.38174e-4
LINC02236,ENSG00000251365,1.269853759,2.2e-5,2.610194629,0.014829193,1.94,2.2e-5
MYRFL,ENSG00000166268,1.880708803,1.87e-7,1.981346102,0.043446236,1.931,1.87e-7
RGS4,ENSG00000117152,1.934821144,7.29e-13,1.925378468,0.006268398,1.93,7.29e-13
FAM72A,ENSG00000196550,2.305597554,5.36e-17,1.5286394,0.009452227,1.917,5.36e-17
NKILA,ENSG00000278709,1.512243444,4.43e-9,2.319501419,0.014418809,1.916,4.43e-9
SH2D2A,ENSG00000027869,1.319943254,6.84e-6,2.511566549,1e-9,1.916,1e-9
APOBEC3H,ENSG00000100298,1.358436237,1.91e-5,2.467470754,0.004523104,1.913,1.91e-5
CDH11,ENSG00000140937,2.18814572,5.26e-19,1.63280484,1.45976e-4,1.91,5.26e-19
TMEM97,ENSG00000109084,1.370121483,2.1e-11,2.444317361,0.029172639,1.907,2.1e-11
IER5L,ENSG00000188483,1.9538091,6.16e-23,1.859064432,6.54488e-4,1.906,6.16e-23
APOBR,ENSG00000184730,1.42090233,1.77e-6,2.366726365,2.58e-7,1.894,2.58e-7
EEF1AKMT4,ENSG00000284753,1.919655532,5e-19,1.855129806,0.020353311,1.887,5e-19
NOD2,ENSG00000167207,1.580719234,5.76e-9,2.193573125,2.33246e-4,1.887,5.76e-9
STIL,ENSG00000123473,1.990711745,2.0399999999999997e-24,1.767109692,8.22e-9,1.879,2.0399999999999997e-24
KLRG2,ENSG00000188883,1.814301521,1.07e-5,1.943082231,9.01435e-4,1.879,1.07e-5
SIX4,ENSG00000100625,1.353234089,7.72e-27,2.400175121,3.40992e-4,1.877,7.72e-27
GPC2,ENSG00000213420,1.656788569,3.38e-6,2.093489972,0.009772531,1.875,3.38e-6
CHST6,ENSG00000183196,1.998111426,7.66e-10,1.746954124,0.004863189,1.873,7.66e-10
OAS2,ENSG00000111335,1.844977639,9.42e-8,1.894931227,0.016695284,1.87,9.42e-8
AIM2,ENSG00000163568,1.465359169,2.19299e-4,2.267318921,0.005420446,1.866,2.19299e-4
SLC7A5,ENSG00000103257,1.782454121,5.97e-10,1.94198493,0.003041858,1.862,5.97e-10
MMP14,ENSG00000157227,1.66496751,1.36e-18,2.038663127,0.010178817,1.852,1.36e-18
H2BC3,ENSG00000276410,1.987189563,0.004403894,1.707744601,9.98e-5,1.847,9.98e-5
LINC02446,ENSG00000256039,1.324494697,0.00100757,2.365344271,0.011272537,1.845,0.00100757
H2AX,ENSG00000188486,1.825475333,5.68e-18,1.846543103,0.008097803,1.836,5.68e-18
CFAP20DC,ENSG00000163689,2.095795474,3.85e-24,1.571577764,0.010741498,1.834,3.85e-24
FANCI,ENSG00000140525,2.011626932,1.58e-24,1.654595553,9.07e-10,1.833,1.58e-24
CDC25A,ENSG00000164045,1.886270046,3.85e-15,1.771889311,0.013336584,1.829,3.85e-15
STARD3,ENSG00000131748,1.55518119,1.49e-8,2.101135854,0.035583517,1.828,1.49e-8
PRC1,ENSG00000198901,1.465999773,3.12e-9,2.182172656,3.29531e-4,1.824,3.12e-9
CIP2A,ENSG00000163507,1.8958838,1.56e-18,1.743538363,3.32601e-4,1.82,1.56e-18
ADAM19,ENSG00000135074,1.583764839,1.78e-8,2.055869667,1.0288e-4,1.82,1.78e-8
TG,ENSG00000042832,1.22535591,4.15e-6,2.413705818,0.042721113,1.82,4.15e-6
LPCAT1,ENSG00000153395,1.379267198,1.54e-13,2.255756047,3.50406e-4,1.818,1.54e-13
DPP3,ENSG00000254986,2.048681277,1.4700000000000001e-21,1.585701911,3.38e-5,1.817,1.4700000000000001e-21
TPRN,ENSG00000176058,2.405250149,4.5299999999999995e-31,1.227500848,0.002768529,1.816,4.5299999999999995e-31
RSAD2,ENSG00000134321,1.508643424,7.52e-6,2.123892232,0.009909476,1.816,7.52e-6
LIMD2,ENSG00000136490,2.000770822,5.4e-5,1.62804729,0.004308009,1.814,5.4e-5
RAD54B,ENSG00000197275,2.128068974,1.06e-22,1.496479252,0.011101085,1.812,1.06e-22
XRCC2,ENSG00000196584,1.741556167,4.99e-14,1.883024464,4.77e-5,1.812,4.99e-14
SERPINH1,ENSG00000149257,1.070062869,1.47e-10,2.549922321,0.001771625,1.81,1.47e-10
PLEK2,ENSG00000100558,1.425882923,5.92e-11,2.192620857,0.021554765,1.809,5.92e-11
GAS2L3,ENSG00000139354,1.186321494,5.32e-10,2.419826396,1.28e-6,1.803,5.32e-10
PAFAH1B3,ENSG00000079462,2.524064994,2.78e-29,1.075351671,0.007971438,1.8,2.78e-29
KIFC2,ENSG00000167702,1.956941555,9.48e-10,1.640603087,2.24962e-4,1.799,9.48e-10
VCAN,ENSG00000038427,1.945400742,3.66e-10,1.642457706,4.76694e-4,1.794,3.66e-10
OSCAR,ENSG00000170909,1.112190588,1.81e-5,2.475972635,0.001493684,1.794,1.81e-5
RACGAP1,ENSG00000161800,1.986224686,2.35e-40,1.594905247,1.15e-5,1.791,2.35e-40
KCNK1,ENSG00000135750,1.999875222,4.39e-8,1.576243003,0.008310566,1.788,4.39e-8
TUBA1C,ENSG00000167553,1.332371454,1.87e-20,2.238727961,1.59e-5,1.786,1.87e-20
PTK6,ENSG00000101213,1.678832016,4.38e-8,1.875389747,2.61665e-4,1.777,4.38e-8
ZNF367,ENSG00000165244,1.670081042,7.49e-18,1.877106086,4.17e-6,1.774,7.49e-18
MCM2,ENSG00000073111,1.74873075,1.93e-14,1.797109807,2.84853e-4,1.773,1.93e-14
MAD2L1,ENSG00000164109,1.946541485,3.1300000000000003e-26,1.584689662,3.84984e-4,1.766,3.1300000000000003e-26
THY1,ENSG00000154096,1.132301259,2.31e-5,2.39859653,0.001235302,1.765,2.31e-5
FOXS1,ENSG00000179772,1.372331296,4.41e-6,2.139115975,0.002141985,1.756,4.41e-6
SMKR1,ENSG00000240204,2.013605595,7.95e-12,1.490176012,0.046391644,1.752,7.95e-12
EGLN3,ENSG00000129521,1.797793595,2.75e-8,1.704194336,0.032438936,1.751,2.75e-8
B4GALNT4,ENSG00000182272,1.99306509,4.73e-10,1.506276668,0.015198785,1.75,4.73e-10
SLC12A8,ENSG00000221955,1.37689256,1.81e-10,2.111640401,0.002464554,1.744,1.81e-10
TAP1,ENSG00000168394,1.56796222,4.01e-10,1.917569238,6.59e-7,1.743,4.01e-10
ZNF469,ENSG00000225614,1.68336144,8.61e-12,1.790402282,1.54687e-4,1.737,8.61e-12
NUAK2,ENSG00000163545,2.388576811,6.669999999999999e-31,1.084244327,0.026466068,1.736,6.669999999999999e-31
LAGE3,ENSG00000196976,1.878037762,3.51e-22,1.583458961,0.001414736,1.731,3.51e-22
ITGA11,ENSG00000137809,1.461105059,4.98e-7,1.994397788,8.69e-7,1.728,4.98e-7
SBK1,ENSG00000188322,1.902245768,1.07e-9,1.531643347,0.027449275,1.717,1.07e-9
OAS3,ENSG00000111331,1.746277845,1.41e-9,1.688585587,0.042848566,1.717,1.41e-9
ARSI,ENSG00000183876,1.701324512,4.64e-9,1.73318466,0.027975794,1.717,4.64e-9
FANCA,ENSG00000187741,1.752920657,1.76e-13,1.671031215,6.64e-6,1.712,1.76e-13
H2BC11,ENSG00000124635,2.093408366,5.86e-11,1.3097323,0.003515201,1.702,5.86e-11
CACNA1E,ENSG00000198216,1.390906632,5.93e-5,2.012822208,0.046391644,1.702,5.93e-5
CCNF,ENSG00000162063,1.928551905,6.1599999999999995e-24,1.46074292,0.026586444,1.695,6.1599999999999995e-24
P2RY6,ENSG00000171631,1.308733107,7.18e-6,2.075996486,0.002811171,1.692,7.18e-6
GRIN2D,ENSG00000105464,1.535678618,8.98e-18,1.844569751,0.002604073,1.69,8.98e-18
IRF7,ENSG00000185507,1.990691104,3.72e-15,1.384371684,0.025294723,1.688,3.72e-15
H2BC15,ENSG00000233822,1.351135905,2.22e-7,2.017040149,3.46e-5,1.684,2.22e-7
TONSL,ENSG00000160949,1.927583303,6.46e-19,1.430239325,6.05907e-4,1.679,6.46e-19
CENPK,ENSG00000123219,1.706876901,2.07e-14,1.643062021,0.001349965,1.675,2.07e-14
P3H4,ENSG00000141696,1.463420459,9.96e-17,1.872517591,1.00758e-4,1.668,9.96e-17
AJM1,ENSG00000232434,1.785906765,2.56e-13,1.546946449,0.004393751,1.666,2.56e-13
PMAIP1,ENSG00000141682,1.961699403,4.07e-10,1.358139392,0.01281869,1.66,4.07e-10
PYCARD,ENSG00000103490,1.978905522,3.46e-14,1.339994136,0.04626865,1.659,3.46e-14
TUFT1,ENSG00000143367,1.588424746,5.01e-30,1.725950606,1.96031e-4,1.657,5.01e-30
EPPK1,ENSG00000261150,1.134387408,0.001355087,2.172995159,6.29212e-4,1.654,6.29212e-4
PLXNA3,ENSG00000130827,1.423528612,1.26e-12,1.875620776,1.56e-5,1.65,1.26e-12
SEMA7A,ENSG00000138623,1.391338688,4.52e-10,1.906809217,4.80273e-4,1.649,4.52e-10
KDELR3,ENSG00000100196,1.014018388,4.02e-6,2.269270904,1.8658e-4,1.642,4.02e-6
KMO,ENSG00000117009,1.058709461,0.004151945,2.216914365,1.20763e-4,1.638,1.20763e-4
SLC38A5,ENSG00000017483,1.665866065,5.92e-11,1.603305288,0.01298689,1.635,5.92e-11
FEN1,ENSG00000168496,1.778083848,1.8700000000000003e-27,1.48804491,0.003068849,1.633,1.8700000000000003e-27
RAB31,ENSG00000168461,1.681891518,1.85e-11,1.583573445,8.19e-6,1.633,1.85e-11
MXRA5,ENSG00000101825,1.400613244,4.49e-11,1.854439578,0.002094055,1.628,4.49e-11
EVPL,ENSG00000167880,1.878553439,4.18e-10,1.375325922,0.008894879,1.627,4.18e-10
SLC50A1,ENSG00000169241,1.826906278,1.8500000000000002e-26,1.421141146,6.05e-5,1.624,1.8500000000000002e-26
SLC39A4,ENSG00000147804,1.337361738,6.2e-6,1.908487289,0.006443588,1.623,6.2e-6
CBS,ENSG00000160200,1.558140693,2.27684e-4,1.686464921,0.043069122,1.622,2.27684e-4
HELLS,ENSG00000119969,1.701696095,1.42e-14,1.535246128,4.79e-5,1.618,1.42e-14
ADAMTSL2,ENSG00000197859,1.496340925,9.01e-9,1.729040722,0.001729877,1.613,9.01e-9
HLA-DQB1,ENSG00000179344,1.134566816,1.00865e-4,2.091728604,2.54e-7,1.613,2.54e-7
STAT1,ENSG00000115415,1.303860812,7.32e-8,1.907488578,1.50585e-4,1.606,7.32e-8
C1QTNF3,ENSG00000082196,1.282158496,2.04541e-4,1.919394041,0.002258577,1.601,2.04541e-4
MAL2,ENSG00000147676,1.671072668,3.66e-11,1.518978108,2.89371e-4,1.595,3.66e-11
CIT,ENSG00000122966,1.884374308,2.3499999999999997e-23,1.289471961,0.033877734,1.587,2.3499999999999997e-23
ATAD2,ENSG00000156802,1.830415442,5.99e-17,1.34224468,0.002146835,1.586,5.99e-17
RN7SL1,ENSG00000276168,2.129146038,2.43e-8,1.034762545,0.017970062,1.582,2.43e-8
TIMELESS,ENSG00000111602,1.667428928,4.4799999999999997e-38,1.494174312,2.98e-5,1.581,4.4799999999999997e-38
PPP1R14B,ENSG00000173457,1.470518699,1.56e-15,1.691686623,0.035594174,1.581,1.56e-15
FBXO43,ENSG00000156509,1.819500913,5.08e-13,1.337949968,0.01095047,1.579,5.08e-13
GPR132,ENSG00000183484,1.054366874,1.36e-5,2.102208195,6.83e-5,1.578,1.36e-5
PLK4,ENSG00000142731,1.873142709,2.73e-21,1.281295616,0.003659936,1.577,2.73e-21
LINC01116,ENSG00000163364,1.673184157,1.62e-9,1.463936945,0.012928046,1.569,1.62e-9
LRRC59,ENSG00000108829,1.732918506,3.33e-14,1.402969587,0.02006452,1.568,3.33e-14
THBS2,ENSG00000186340,1.519747271,3.7e-7,1.612690265,0.018483125,1.566,3.7e-7
USP35,ENSG00000118369,1.027439006,8.43e-5,2.092335022,0.04107409,1.56,8.43e-5
NREP,ENSG00000134986,1.005562755,2.10729e-4,2.108958077,2.09e-6,1.557,2.09e-6
GPC4,ENSG00000076716,1.445731885,3.73e-8,1.664340676,6.14968e-4,1.555,3.73e-8
LMNB2,ENSG00000176619,1.365313288,1.22e-15,1.741422321,0.026994305,1.553,1.22e-15
H2AC21,ENSG00000184270,1.537938476,0.003645442,1.569049933,0.010368798,1.553,0.003645442
PYCR3,ENSG00000104524,1.766623978,9.88e-19,1.337190594,3.68996e-4,1.552,9.88e-19
STMN1,ENSG00000117632,1.853648581,1.49e-19,1.243982671,0.003546071,1.549,1.49e-19
NCAPG2,ENSG00000146918,1.346692924,1.23e-14,1.742381182,0.009066469,1.545,1.23e-14
YJEFN3,ENSG00000250067,1.134942505,8.81e-5,1.95098223,0.028667671,1.543,8.81e-5
NPTX2,ENSG00000106236,1.253057545,7.77038e-4,1.826293765,0.009017993,1.54,7.77038e-4
RUNX2,ENSG00000124813,1.442914772,1.22e-9,1.634641851,4.39e-5,1.539,1.22e-9
PIF1,ENSG00000140451,1.532489535,8.89e-9,1.546130348,0.043054421,1.539,8.89e-9
SYCP2,ENSG00000196074,1.548979808,5.9e-7,1.514544003,0.027975794,1.532,5.9e-7
MYBL1,ENSG00000185697,1.171457781,5.82e-6,1.87441675,0.004897823,1.523,5.82e-6
SLC52A2,ENSG00000185803,1.544907215,5.49e-17,1.499195867,6.54488e-4,1.522,5.49e-17
MICB,ENSG00000204516,1.522447998,6.77e-12,1.500519595,0.007740657,1.511,6.77e-12
